X,Y,标注类别名称,预测类别,图像路径
4.7839646,8.391607,covering,mater,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_3031.jpg
4.613867,10.04649,covering,domestic_animal,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_675.jpg
6.632399,9.303758,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2401.jpg
7.684526,10.105433,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1161.jpg
8.210117,10.648888,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2745.jpg
3.3534868,10.6772785,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1188.jpg
8.30768,10.557989,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1876.jpg
8.267105,10.602633,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_278.jpg
5.2890334,10.621309,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2441.jpg
8.552185,9.883796,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1052.jpg
7.4434533,10.272163,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2730.jpg
8.163806,10.928393,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2138.jpg
7.287439,10.626393,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1121.jpg
8.352455,9.3665,covering,mater,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_18.jpg
5.699962,8.941544,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1636.jpg
8.499936,9.732506,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2477.jpg
8.993461,7.9771576,covering,device,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1085.jpg
5.1521344,10.073618,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1064.jpg
8.66198,10.092382,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2664.jpg
8.075266,10.792356,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2558.jpg
5.332644,11.542203,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_592.jpg
5.7036614,11.2322855,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_1475.jpg
5.5637302,8.865425,covering,covering,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_2636.jpg
3.480844,10.616868,covering,person,data/SOD-SemanticDataset/test/COME15K-Easy/COME_Easy_3167.jpg
