X,Y,标注类别名称,预测类别,图像路径
10.604694,7.961085,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1438.jpg
9.247127,8.624863,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2439.jpg
6.736321,6.252212,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1674.jpg
8.830749,9.02434,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2317.jpg
10.017672,10.917166,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2480.jpg
10.237286,7.0759706,covering,device,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2079.jpg
7.8942523,8.056626,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1734.jpg
8.899475,5.8011565,covering,domestic_animal,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2318.jpg
9.27082,8.050008,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2405.jpg
6.465283,4.7834992,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2116.jpg
7.317418,8.082326,covering,device,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_100.jpg
11.508558,11.005383,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1915.jpg
5.8677464,5.575338,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2314.jpg
10.59058,12.727741,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2773.jpg
10.336583,6.601935,covering,device,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_573.jpg
8.192867,9.672442,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1605.jpg
10.389365,8.105862,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2376.jpg
9.676962,7.751114,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_617.jpg
7.6053457,8.413493,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2285.jpg
11.297281,8.717451,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2849.jpg
11.084318,7.4303355,covering,domestic_animal,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1706.jpg
11.220736,10.982839,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2650.jpg
10.2471695,10.3933525,covering,vertebrate,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2002.jpg
10.687681,9.355708,covering,domestic_animal,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1754.jpg
9.27953,6.121613,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1416.jpg
7.42,7.561652,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1258.jpg
10.897368,7.8858657,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1645.jpg
9.513319,8.952103,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2440.jpg
9.38207,9.957654,covering,device,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1179.jpg
11.049715,11.955248,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2238.jpg
7.60245,8.286094,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1172.jpg
6.479267,6.24219,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2707.jpg
12.406208,11.205017,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2030.jpg
