X,Y,标注类别名称,预测类别,图像路径
5.214009,11.128412,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1438.jpg
2.5410967,9.476907,covering,structure,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2439.jpg
0.1521621,10.803471,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1674.jpg
2.915785,11.051286,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2317.jpg
3.0303102,7.69115,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2480.jpg
6.345784,8.444132,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2079.jpg
6.6508007,6.596632,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1734.jpg
1.6995265,11.3166895,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2318.jpg
4.8050423,8.821315,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2405.jpg
0.9064184,11.28915,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2116.jpg
0.47518516,10.381759,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_100.jpg
4.8685713,10.913529,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1915.jpg
2.5754945,9.777273,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2314.jpg
4.9010153,10.624634,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2773.jpg
2.0324519,9.618516,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_573.jpg
3.5765269,12.155574,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1605.jpg
4.5819697,11.287357,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2376.jpg
2.771945,9.472719,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_617.jpg
2.000387,10.33318,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2285.jpg
5.0716147,6.7732644,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2849.jpg
3.0496478,10.756218,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1706.jpg
5.1597176,10.700604,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2650.jpg
2.4972124,8.878412,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2002.jpg
4.563096,10.492537,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1754.jpg
4.200631,10.599792,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1416.jpg
2.102314,10.999674,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1258.jpg
4.08098,10.432212,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1645.jpg
2.7241328,9.972388,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2440.jpg
3.8210778,7.14595,covering,device,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1179.jpg
2.9672196,10.389611,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2238.jpg
2.3166215,11.39472,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1172.jpg
3.3711317,10.887825,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2707.jpg
4.295027,10.380416,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2030.jpg
5.0181866,10.902063,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_866.jpg
2.4383903,9.490179,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_153.jpg
2.6528726,9.428469,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_303.jpg
0.2524829,11.063461,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1711.jpg
2.5706434,11.934631,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2004.jpg
4.7241483,10.603469,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_681.jpg
2.815281,10.092965,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_264.jpg
3.1894202,6.7478333,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2555.jpg
2.7357087,11.9873085,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1536.jpg
2.893832,10.134093,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2491.jpg
4.8511095,11.036029,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2265.jpg
0.47069746,10.567373,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2135.jpg
2.9987655,12.218385,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2233.jpg
5.179804,11.253192,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2895.jpg
6.5901866,6.3531895,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2185.jpg
5.229065,11.15461,covering,covering,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2008.jpg
1.2894409,9.993736,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1124.jpg
3.074186,11.721765,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2182.jpg
3.0107036,11.49215,covering,mater,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_1614.jpg
4.1264553,10.595319,covering,person,data/SOD-SemanticDataset/test/COME15K-Hard/COME_Hard_2230.jpg
